date,BZ=F,CL=F,NG=F,SPY,XLE
2023-11-15,34.477500010962956,35.120702002903755,59.66379404406924,16.294965185305873,20.390668062258122
2023-11-16,36.810848731695884,37.40213412704025,60.32821675678601,15.773563645753278,21.08299220456886
2023-11-17,40.811358495661636,41.54411775736453,61.18183348195255,14.759431559423348,22.49153288599035
2023-11-20,41.286234243400784,41.33315813270423,61.902001152787776,14.70031556374862,21.994887956400017
2023-11-21,40.910244828653134,40.95328205500077,61.77157756818536,14.78697191557497,21.544230848465563
2023-11-22,39.71041762611324,40.060768181997375,61.944620638166306,13.211707782089931,21.547810300731157
2023-11-24,39.294214600418286,39.73989940517253,56.43428966233262,11.833843707809445,21.505649819583635
2023-11-27,37.306265233758495,37.84871028692438,56.611601115196194,11.579948235199513,19.753619314442684
2023-11-28,36.99352876826799,37.10075780136196,51.75270423672587,11.371828479768842,19.716950419218335
2023-11-29,37.70100630350557,37.62191104118005,46.66500483191384,11.500899752185,19.84108427110672
2023-11-30,36.05947884941327,38.44163621196655,46.629213514210285,11.24499790620869,19.994168969166655
2023-12-01,38.18608547222904,37.754889289245035,46.90797543226413,9.737564281165325,16.637772655339237
2023-12-04,37.67303086842887,37.27476891579907,47.48320747229117,9.914564143241773,16.372761334231363
2023-12-05,37.63961054675458,37.180387881697285,42.49326611387711,9.960427248311328,17.015992622929986
2023-12-06,37.096416942519625,36.91493003802901,44.03158773542199,10.212242660657491,16.009356932899856
2023-12-07,36.261519208358614,36.077086442492885,44.38435127380277,10.38878077149568,15.591975025226912
2023-12-08,37.438439546532805,37.62320861151259,44.21291987201925,9.682314603777508,16.09694379733315
2023-12-11,36.734481430980885,36.787365671983636,47.60927603558299,8.472290728358688,15.563821383806584
2023-12-12,38.020164693079664,38.072057218280264,42.90688912480709,8.410152854025165,15.940274006348309
2023-12-13,38.62222765647812,38.60274402920499,43.589988686462874,7.0557830184594605,16.46900515431398
2023-12-14,40.48776585015006,40.20223986798809,43.271564266708005,7.061017390365946,19.760950680958704
2023-12-15,37.04382057844696,36.358289321470686,46.29571505604788,7.620889498804784,18.48884248034468
2023-12-18,34.43972189340906,33.41988111530229,45.708411503671584,7.714442973896698,16.899627082100828
2023-12-19,34.06137123592663,32.67538451600237,45.19774637375884,7.584936121316025,17.446458361539538
2023-12-20,34.1517120978138,32.9732294870022,45.332825233989,9.40048574396161,17.757099486519348
2023-12-21,34.123829696375005,32.897554605890384,49.13265342658364,9.780315957069702,17.812012573391716
2023-12-22,33.65346818742766,32.20206673311679,49.51678991105011,9.768052185017016,17.781693176904916
2023-12-26,34.77480187978715,33.576706267953156,49.595499609683664,9.691249778032326,17.97389493122202
2023-12-27,34.4879736687039,33.41703313773066,49.65947855208762,9.680966676235375,18.065897546125605
2023-12-28,34.148666275335316,34.15523599320952,48.20960667715322,9.643456553736046,18.718056603256745
2023-12-29,34.536899822696974,33.282344926401905,48.395510511047206,9.801869831242431,18.568607538335318
2024-01-02,30.70942850472068,32.74250792555382,49.20941090406376,10.048397540928825,18.890061576258546
2024-01-03,32.61538755150403,34.71565059995335,49.25603546923965,10.355957520622475,19.66905080092014
2024-01-04,32.52630871578979,34.623191750302134,53.29591648349115,10.470047781833747,19.674757071334632
2024-01-05,29.601926122946974,31.900975895693374,49.75482903988093,10.287721920351448,18.764565240885723
2024-01-08,32.286696042669945,35.59692796696014,50.45734189220359,11.058992642019074,19.12324705221341
2024-01-09,31.8789899985492,35.03881079165798,54.99440143450326,11.075942994925704,19.749132981339564
2024-01-10,32.13419147218527,35.33943678063413,53.29857340054559,11.1442345433122,20.057346649953665
2024-01-11,28.997969994350953,32.40789219780738,48.18041910100376,11.107736361761942,19.446332954889325
2024-01-12,28.88327275613463,32.293106008318496,51.86375715071425,10.084395635523013,19.222729236631505
2024-01-16,26.80126899558845,30.610611826618587,72.40259403866239,10.15031058659871,17.759714257547483
2024-01-17,26.891908263635134,30.5957304847191,71.82008593491153,10.141039198428963,17.8566622354986
2024-01-18,26.683499040777964,31.052920646344685,75.82110545333771,10.42941254489997,17.855156623292192
2024-01-19,26.15698467152337,30.913769002980096,79.86313198842964,11.107091083641892,17.167433364887575
2024-01-22,26.976980997477202,31.88836431280747,80.93796630117744,9.661330894622147,17.155898141690283
2024-01-23,27.043126265067553,32.11207785629699,78.8918435877064,9.22343709317679,17.080950623070038
2024-01-24,27.07166334461688,32.21331255671576,83.63672063695967,9.219645909716304,17.99935139538164
