date,BZ=F,CL=F,NG=F,SPY,XLE
2024-09-11,-44.82731773852067,-45.5860960233029,-76.54958771320727,-1.8482460631210285,-13.998779670277617
2024-09-12,-43.76465124791389,-44.24413668372107,-75.65082605138649,-1.0214847299729657,-13.223899855797605
2024-09-13,-44.045945669627194,-44.50282682334825,-76.18801658999178,-0.5045454908907621,-12.734507809939089
2024-09-16,-43.1551819880003,-43.33872427885568,-75.48553892843265,-0.3576033970323689,-11.73532006662963
2024-09-17,-42.41288090710983,-42.44947114170654,-75.99173751573365,-0.31688879966063066,-10.542418203759906
2024-09-18,-42.45194593371703,-42.6758242429229,-76.40496024912179,-0.612534261095965,-10.369084399553131
2024-09-19,-41.490861627359706,-41.83508591487916,-75.74380190529935,0.0,-9.29853443752119
2024-09-20,-41.79559625731649,-41.859337151772415,-74.8553725359145,-0.4781219240837187,-9.502446493504513
2024-09-23,-42.256602916493655,-43.11236500997989,-73.00620006510205,-0.2294296828968201,-9.135398569737474
2024-09-24,-41.2642630120131,-42.15036432981042,-73.6466938240526,0.0,-9.359706498566922
2024-09-25,-42.600408534453436,-43.66208232764507,-72.75826445466775,-0.22055133774685487,-11.13376627761008
2024-09-26,-44.05376105950695,-45.29506884526491,-73.29545499327304,0.0,-12.877247804876701
2024-09-27,-43.75683585803413,-44.88277931510116,-70.02066261447047,-0.14503182029491635,-11.103180247087208
2024-09-30,-43.92092923853005,-44.89086511661873,-69.80371895534046,0.0,-10.481238363967849
2024-10-01,-42.52227251984325,-43.54890577703689,-70.08264651707904,-0.89584749040581,-8.44208668914932
2024-10-02,-42.256602916493655,-43.33063847733811,-70.18595220042607,-0.8540198568499191,-7.504078785631907
2024-10-03,-39.34989786638664,-40.412287063099974,-69.31818248990957,-1.035276481508829,-5.872759001526351
2024-10-04,-39.01390763830662,-39.870655546952364,-70.51652890933552,-0.13595044680677626,-4.995923159054671
2024-10-07,-36.763558225995915,-37.639449237880825,-71.63223176728455,-1.0387656635551967,-4.659461265810494
2024-10-08,-39.69370348434642,-40.52546361370815,-71.76652940193587,-0.10283513061667415,-7.14722879828793
2024-10-09,-40.16252553340334,-40.792239554852884,-72.52066113666939,0.0,-6.586458976214304
2024-10-10,-37.95905653757959,-38.6822955979071,-72.36570384314973,-0.17500255397128184,-5.954326935418209
2024-10-11,-38.240350959292904,-38.91673450064101,-72.80991852784216,0.0,-5.373169019244761
2024-10-14,-39.47492025887958,-40.31527594786749,-74.23553843583231,0.0,-5.413952986190706
2024-10-15,-41.98312388466011,-42.942600184067636,-74.19421665509384,-0.7769677523338125,-8.462482561995444
2024-10-16,-42.00656409290359,-43.0961995746042,-75.54752036803946,-0.34570432398854933,-8.02406464075961
2024-10-17,-41.82685185543973,-42.86984647338785,-75.75413419773528,-0.33714945810303654,-7.585646719523764
2024-10-18,-42.91295855428998,-44.04203481939799,-76.67355551842444,0.0,-7.89152258224507
2024-10-21,-41.95186828653688,-42.95877178710277,-76.11570285794903,-0.1642214079190185,-8.1668046356972
2024-10-22,-40.5844671659733,-41.721909364270985,-76.1260326873832,-0.2172496062037621,-7.952694643290803
2024-10-23,-41.42835043111324,-42.7890069611905,-75.80578580790792,-1.1290026031739897,-8.43189653147256
2024-10-24,-41.88154766180644,-43.2578785989989,-73.94628104465954,-0.915177539013412,-8.44208668914932
2024-10-25,-40.576651776093556,-41.97251370238059,-73.55372043314152,-0.9493916374144984,-8.472680498418505
2024-10-28,-44.1944082703636,-45.52950774799882,-76.14669480925332,-0.6431874635033141,-9.053838414591942
2024-10-29,-44.42881631419417,-45.66693553550025,-75.76446402716948,-0.48239059762748004,-10.44046217576824
2024-10-30,-43.31145401722068,-44.535163861759074,-70.60950476324838,-0.7834579584738766,-10.236542341038602
2024-10-31,-42.834816578284006,-44.00969778098715,-72.03512467123852,-2.7284099068242695,-9.67578029771129
2024-11-01,-42.881702956166755,-43.823767519699196,-72.48966918536512,-2.3178720480421466,-10.246740277461663
2024-11-04,-41.33458363674354,-42.22311804049019,-71.27066310707082,-2.5282725701595177,-8.676592554401829
2024-11-05,-40.9829685902998,-41.80274887646832,-72.41735545332237,-1.349666310743991,-8.064848607705532
2024-11-06,-41.459606029236475,-42.04526741306037,-71.62190193785038,0.0,-4.608487141187812
2024-11-07,-40.90483257568961,-41.50363589691276,-72.17975213532401,0.0,-5.046905062423679
2024-11-08,-42.28004312473714,-43.104285376121766,-72.42768774575832,0.0,-4.414765242881247
2024-11-11,-43.87404286064731,-44.995955865709334,-69.83471090664474,0.0,-3.874391293653745
2024-11-12,-43.82716244416035,-44.93128178888769,-69.96900854129606,-0.3106395419244068,-4.384179212358374
2024-11-13,-43.52242781420356,-44.68067745077807,-69.18388485525824,-0.2622097833209214,-3.639885428401235
2024-11-14,-43.303644588736724,-44.46241015107929,-71.22933886333058,-0.9035396638805593,-3.272837504634185
2024-11-15,-44.491327510440634,-45.820534926036814,-70.83677825181256,-2.172825431464198,-3.415577499571776
2024-11-18,-42.72542496555059,-44.090537293184504,-69.28719053860529,-1.771992981915338,-2.1309175451334483
