date,spy_adj_close,overlay_direction,is_long_allowed,hh_hl_count,lh_ll_count,transition_count,sector_count,daily_return,overlay_position,baseline_position,baseline_strategy_return,overlay_strategy_return,baseline_equity,overlay_equity
2015-02-11,171.3671875,TRANSITION,False,3.0,3.0,3.0,9.0,0.000579996275907213,0,1,0.000579996275907213,0.0,2.020925585760918,1.1710489163239126
2015-02-12,173.01522827148438,TRANSITION,False,3.0,3.0,3.0,9.0,0.009617014759516707,0,1,0.009617014759516707,0.0,2.040360856947066,1.1710489163239126
2015-02-13,173.72743225097656,HH/HL,True,2.0,1.0,6.0,9.0,0.004116423661705948,0,1,0.004116423661705948,0.0,2.0487598466570214,1.1710489163239126
2015-02-17,174.00071716308594,HH/HL,True,2.0,1.0,6.0,9.0,0.001573067123415317,1,1,0.001573067123415317,0.001573067123415317,2.051982683415571,1.172891054874093
2015-02-18,174.01731872558594,HH/HL,True,2.0,1.0,6.0,9.0,9.541088548759014e-05,1,1,9.541088548759014e-05,9.541088548759014e-05,2.052178464900401,1.173002961448219
2015-02-19,173.89308166503906,HH/HL,True,2.0,1.0,6.0,9.0,-0.000713935035068447,1,1,-0.000713935035068447,-0.000713935035068447,2.0507133427960955,1.172165513537802
2015-02-20,174.93649291992188,HH/HL,True,4.0,2.0,3.0,9.0,0.006000303432960541,1,1,0.006000303432960541,0.006000303432960541,2.063018245106893,1.1791988622926808
2015-02-23,174.91165161132812,HH/HL,True,4.0,2.0,3.0,9.0,-0.00014200186695823014,1,1,-0.00014200186695823014,-0.00014200186695823014,2.0627252926645188,1.1790314138527203
2015-02-24,175.40855407714844,HH/HL,True,4.0,2.0,3.0,9.0,0.0028408768726537748,1,1,0.0028408768726537748,0.0028408768726537748,2.0685852412430874,1.1823808969284668
2015-02-25,175.25950622558594,HH/HL,True,4.0,2.0,3.0,9.0,-0.0008497182611569842,1,1,-0.0008497182611569842,-0.0008497182611569842,2.066827526588843,1.1813762062887034
2015-02-26,175.05242919921875,HH/HL,True,4.0,2.0,3.0,9.0,-0.0011815451887707829,1,1,-0.0011815451887707829,-0.0011815451887707829,2.0643854764687832,1.1799803569160348
2015-02-27,174.45623779296875,HH/HL,True,4.0,3.0,2.0,9.0,-0.003405787677310701,1,1,-0.003405787677310701,-0.003405787677310701,2.0573546178518067,1.1759615943569814
2015-03-02,175.55760192871094,HH/HL,True,4.0,3.0,2.0,9.0,0.006313125570489575,1,1,0.006313125570489575,0.006313125570489575,2.0703429558973316,1.1833855875682302
2015-03-03,174.83712768554688,HH/HL,True,4.0,3.0,2.0,9.0,-0.004103919370330833,1,1,-0.004103919370330833,-0.004103919370330833,2.0618464353373964,1.1785290685328387
2015-03-04,174.10012817382812,HH/HL,True,4.0,3.0,2.0,9.0,-0.004215349002096858,1,1,-0.004215349002096858,-0.004215349002096858,2.05315503302372,1.1735611571998565
2015-03-05,174.29052734375,HH/HL,True,4.0,3.0,2.0,9.0,0.0010936187808647801,1,1,0.0010936187808647801,0.0010936187808647801,2.0554004019278618,1.1748445857218637
2015-03-06,171.83921813964844,HH/HL,True,4.0,3.0,2.0,9.0,-0.014064500472058872,1,1,-0.014064500472058872,-0.014064500472058872,2.0264922220046775,1.1583209834913828
2015-03-09,172.551513671875,HH/HL,True,4.0,3.0,2.0,9.0,0.004145127869749077,1,1,0.004145127869749077,0.004145127869749077,2.0348922913919387,1.1631223720821682
2015-03-10,169.7522735595703,HH/HL,True,4.0,3.0,2.0,9.0,-0.01622263434691007,1,1,-0.01622263434691007,-0.01622263434691007,2.0018809778133413,1.1442534631391685
2015-03-11,169.3547821044922,HH/HL,True,4.0,3.0,2.0,9.0,-0.00234159723898264,1,1,-0.00234159723898264,-0.00234159723898264,1.9971933788429217,1.1415740823891856
2015-03-12,171.5079803466797,HH/HL,True,4.0,3.0,2.0,9.0,0.012714127203440784,1,1,0.012714127203440784,0.012714127203440784,2.0225859495114005,1.156088200484833
2015-03-13,170.45628356933594,HH/HL,True,5.0,3.0,1.0,9.0,-0.006132057384256373,1,1,-0.006132057384256373,-0.006132057384256373,2.0101833364044057,1.1489990012981983
